"oy_0.9","oy_0.8","or_0.9","or_0.8","of_0.9","of_0.8","oy_0.7","or_0.7","of_0.7","escapement"
0,0,0,0,1,1,0,0,1,0
0,0,0.0005,0.001,1,1,0,0.00125,1,500
0,0,0.003,0.004,1,1,0,0.00525,1,1000
0,0,0.008833,0.0125,1,1,0,0.02,1,1500
0,0,0.021,0.03025,1,1,0,0.04875,1,2000
0,0,0.04,0.061667,1,1,0,0.102,1,2500
0,0,0.070583,0.112417,1,1,0,0.188,1,3000
0,0,0.117583,0.184667,1,1,0,0.297667,1,3500
0,0,0.178333,0.273,1,1,0.000083,0.436167,0.999917,4000
0,0,0.249,0.38025,1,1,0.000417,0.582083,0.999583,4500
0,0.000083,0.3335,0.500167,1,0.999917,0.0035,0.7185,0.9965,5000
0,0.00025,0.431583,0.61875,1,0.99975,0.023,0.827917,0.977,5500
0.000083,0.001,0.530083,0.73,0.999917,0.999,0.09675,0.90125,0.90325,6000
0.000083,0.007417,0.628167,0.81925,0.999917,0.992583,0.255667,0.946417,0.744333,6500
0.000167,0.029917,0.719667,0.8825,0.999833,0.970083,0.455583,0.97225,0.544417,7000
0.000583,0.092917,0.796,0.927833,0.999417,0.907083,0.64025,0.985417,0.35975,7500
0.002333,0.213583,0.8575,0.959167,0.997667,0.786417,0.76825,0.991667,0.23175,8000
0.011083,0.369083,0.9025,0.976,0.988917,0.630917,0.854083,0.995,0.145917,8500
0.030667,0.52975,0.936667,0.986417,0.969333,0.47025,0.903417,0.996167,0.096583,9000
0.07875,0.66875,0.959667,0.9915,0.92125,0.33125,0.93475,0.997417,0.06525,9500
0.161,0.76675,0.975,0.99425,0.839,0.23325,0.955083,0.998,0.044917,10000
0.273667,0.839333,0.983167,0.995833,0.726333,0.160667,0.96925,0.998667,0.03075,10500
0.402417,0.88675,0.989583,0.996667,0.597583,0.11325,0.9775,0.998917,0.0225,11000
0.530417,0.9185,0.992833,0.997667,0.469583,0.0815,0.982417,0.9995,0.017583,11500
0.642417,0.939417,0.994917,0.998333,0.357583,0.060583,0.986,0.99975,0.014,12000
0.730167,0.955417,0.995917,0.998833,0.269833,0.044583,0.988,0.99975,0.012,12500
0.7935,0.967,0.996583,0.999167,0.2065,0.033,0.990417,0.999833,0.009583,13000
0.847417,0.974583,0.997917,0.999417,0.152583,0.025417,0.991583,0.999833,0.008417,13500
0.884333,0.98025,0.99825,0.999667,0.115667,0.01975,0.993083,0.999833,0.006917,14000
0.910333,0.983333,0.998833,0.99975,0.089667,0.016667,0.994,0.999833,0.006,14500
0.929667,0.986083,0.999167,0.99975,0.07025,0.013917,0.994667,0.999917,0.005333,15000
0.944,0.98775,0.99925,0.999833,0.055917,0.01225,0.995167,0.999917,0.004833,15500
0.956333,0.98925,0.999583,0.999833,0.043583,0.01075,0.995583,1,0.004417,16000
0.965167,0.991,0.999667,0.999833,0.03475,0.009,0.996333,1,0.003667,16500
0.97175,0.992083,0.99975,0.999917,0.028167,0.007917,0.996667,1,0.003333,17000
0.976917,0.992917,0.99975,0.999917,0.022833,0.007,0.996833,1,0.003167,17500
0.980833,0.993583,0.999833,0.999917,0.018833,0.006333,0.997,1,0.003,18000
0.982833,0.994333,0.999833,1,0.0165,0.005583,0.997167,1,0.002833,18500
0.984167,0.994917,0.999833,1,0.014667,0.005,0.997667,1,0.002333,19000
0.984833,0.995167,0.999917,1,0.012833,0.00475,0.997833,1,0.002167,19500
0.9835,0.9955,0.999917,1,0.0115,0.004417,0.998,1,0.001917,20000
0.97975,0.996,0.999917,1,0.010083,0.003917,0.998083,1,0.001833,20500
0.974167,0.99625,1,1,0.008917,0.003417,0.998333,1,0.001583,21000
0.961,0.996333,1,1,0.008333,0.003167,0.998333,1,0.001583,21500
0.944667,0.996333,1,1,0.00725,0.003,0.998417,1,0.0015,22000
0.921417,0.9955,1,1,0.00675,0.003,0.998417,1,0.0015,22500
0.884333,0.994417,1,1,0.006333,0.002917,0.998417,1,0.0015,23000
0.843333,0.991917,1,1,0.0055,0.002583,0.998333,1,0.001417,23500
0.794167,0.987,1,1,0.005167,0.002167,0.998167,1,0.001417,24000
0.741417,0.980333,1,1,0.005,0.002083,0.998333,1,0.00125,24500
0.679583,0.967917,1,1,0.004667,0.001917,0.997833,1,0.00125,25000
0.621417,0.95325,1,1,0.004333,0.001833,0.996917,1,0.00125,25500
0.563833,0.9325,1,1,0.003917,0.001583,0.995583,1,0.001167,26000
0.506167,0.903417,1,1,0.003583,0.001583,0.9925,1,0.001083,26500
0.448417,0.867667,1,1,0.00325,0.001583,0.988833,1,0.001,27000
0.394417,0.827417,1,1,0.003167,0.0015,0.981583,1,0.001,27500
0.349833,0.78025,1,1,0.003,0.0015,0.97,1,0.000917,28000
0.30625,0.733333,1,1,0.003,0.0015,0.95625,1,0.000833,28500
