year,spawn,recruit
1982,455.8408662,6855.667809
1983,2539.78551,12843.28834
1984,11579.40694,50074.93757
1985,10991.36136,96153.77091
1986,9798.170377,10915.72387
1987,14251.35837,14253.97142
1988,3252.030669,32610.62152
1989,31570.47473,27573.43134
1990,73180.57166,44788.02284
1991,45509.80918,35969.97299
1992,10325.81654,36268.55992
1993,25018.47288,41650.14893
1994,39710.38299,72123.55087
1995,34797.61832,4789.6131
1996,19209.33477,7433.889852
1997,28898.40606,27191.06673
1998,40441.34181,81474.62913
1999,57753.5711,62003.17824
2000,3032.198293,90543.46946
2001,3666.994518,74923.08318
2002,23987.72021,142828.1395
2003,69892.76973,12287.44105
2004,77262.73389,17135.22809
2005,65653.3828,10064.96451
2006,103952.8553,29816.49836
2007,66938.38331,29874.61839
2008,10063.98296,67741.00692
2009,12568.76062,24216.49218
2010,17156.23095,17254.52457
2011,22719.733,25591.96413
2012,40943.87653,39575.91158
2013,49124.28074,24156.2728
