"oy_0.9","oy_0.8","or_0.9","or_0.8","of_0.9","of_0.8","oy_0.7","or_0.7","of_0.7","escapement"
0,0,0,0,1,1,0,0,1,0
0,0,0,0,1,1,0,0,1,500
0,0,0,0,1,1,0,0,1,1000
0,0,0,0.00025,1,1,0,0.000667,1,1500
0,0,0.00075,0.001833,1,1,0,0.00325,1,2000
0,0,0.002333,0.00525,1,1,0,0.014083,1,2500
0,0,0.0075,0.016833,1,1,0,0.0465,1,3000
0,0,0.018417,0.04525,1,1,0,0.118167,1,3500
0,0,0.0425,0.099167,1,1,0,0.255417,1,4000
0,0,0.084417,0.198833,1,1,0,0.433417,1,4500
0,0,0.155083,0.3335,1,1,0.000083,0.611583,0.999917,5000
0,0,0.256583,0.486083,1,1,0.00275,0.763917,0.99725,5500
0,0,0.374667,0.631083,1,1,0.029167,0.87425,0.970833,6000
0,0.00025,0.503333,0.755583,1,0.99975,0.13625,0.938417,0.86375,6500
0,0.004333,0.623667,0.854417,1,0.995667,0.341583,0.969333,0.658417,7000
0,0.028,0.7305,0.914333,1,0.972,0.557583,0.986083,0.442417,7500
0.000083,0.105583,0.820917,0.954917,0.999917,0.894417,0.726333,0.993083,0.273667,8000
0.000917,0.25,0.884583,0.976,0.999083,0.75,0.840917,0.997083,0.159083,8500
0.005333,0.428917,0.928917,0.986667,0.994667,0.571083,0.910917,0.9985,0.089083,9000
0.022833,0.597,0.958333,0.992833,0.977167,0.403,0.950667,0.999083,0.049333,9500
0.07225,0.72925,0.97475,0.99625,0.92775,0.27075,0.971833,0.999333,0.028167,10000
0.163,0.82425,0.986083,0.997917,0.837,0.17575,0.981583,0.999583,0.018417,10500
0.29625,0.889583,0.991417,0.998833,0.70375,0.110417,0.988917,0.99975,0.011083,11000
0.436167,0.929583,0.995083,0.99925,0.563833,0.070417,0.992917,0.99975,0.007083,11500
0.57,0.956833,0.997167,0.999417,0.43,0.043167,0.995417,0.99975,0.004583,12000
0.682583,0.972083,0.998083,0.999583,0.317417,0.027917,0.997167,0.99975,0.002833,12500
0.772417,0.980333,0.998917,0.99975,0.227583,0.019667,0.998,0.999917,0.002,13000
0.837333,0.986,0.99925,0.99975,0.162667,0.014,0.99825,0.999917,0.00175,13500
0.889333,0.99125,0.999417,0.99975,0.110667,0.00875,0.998667,1,0.001333,14000
0.921417,0.994,0.999583,0.99975,0.078583,0.006,0.99925,1,0.00075,14500
0.947583,0.995583,0.999583,0.999833,0.052417,0.004417,0.999333,1,0.000667,15000
0.9635,0.996667,0.99975,0.999917,0.0365,0.003333,0.999417,1,0.000583,15500
0.973333,0.997583,0.99975,0.999917,0.026667,0.002417,0.999667,1,0.000333,16000
0.980083,0.998,0.99975,0.999917,0.019917,0.002,0.99975,1,0.00025,16500
0.984667,0.9985,0.99975,1,0.015333,0.0015,0.999833,1,0.000167,17000
0.989083,0.998667,0.999833,1,0.010917,0.001333,0.999833,1,0.000167,17500
0.991833,0.99925,0.999917,1,0.008167,0.00075,0.999833,1,0.000167,18000
0.994083,0.999333,0.999917,1,0.005917,0.000667,0.999833,1,0.000167,18500
0.99525,0.999417,0.999917,1,0.004667,0.000583,0.999833,1,0.000167,19000
0.996083,0.9995,1,1,0.00375,0.0005,0.999833,1,0.000167,19500
0.996583,0.999667,1,1,0.00275,0.000333,0.999917,1,0.000083,20000
0.995583,0.99975,1,1,0.00225,0.00025,0.999917,1,0.000083,20500
0.99275,0.999833,1,1,0.002,0.000167,0.999917,1,0.000083,21000
0.987833,0.999833,1,1,0.001667,0.000167,0.999917,1,0.000083,21500
0.974917,0.99975,1,1,0.001333,0.000167,1,1,0,22000
0.9565,0.99975,1,1,0.001083,0.000167,1,1,0,22500
0.931167,0.999333,1,1,0.00075,0.000167,1,1,0,23000
0.89625,0.998417,1,1,0.000667,0.000167,1,1,0,23500
0.850417,0.99575,1,1,0.000667,0.000167,1,1,0,24000
0.795083,0.9925,1,1,0.000583,0.000167,0.999917,1,0,24500
0.736417,0.98425,1,1,0.000417,0.000083,0.999833,1,0,25000
0.6705,0.971417,1,1,0.00025,0.000083,0.999667,1,0,25500
0.605417,0.953333,1,1,0.00025,0.000083,0.99875,1,0,26000
0.540833,0.929833,1,1,0.000167,0.000083,0.996917,1,0,26500
0.480167,0.897833,1,1,0.000167,0,0.99425,1,0,27000
0.421083,0.85925,1,1,0.000167,0,0.9885,1,0,27500
0.367417,0.812583,1,1,0.000167,0,0.979,1,0,28000
0.319167,0.762167,1,1,0.000167,0,0.966167,1,0,28500
0.273083,0.705333,1,1,0.000167,0,0.947667,1,0,29000
0.232167,0.649833,1,1,0.000167,0,0.923667,1,0,29500
0.198333,0.589583,1,1,0.000167,0,0.894833,1,0,30000
0.173583,0.534583,1,1,0.000167,0,0.859167,1,0,30500
0.148083,0.479333,1,1,0.000167,0,0.818667,1,0,31000
0.125333,0.429667,1,1,0.000167,0,0.77225,1,0,31500
0.105833,0.381417,1,1,0.000083,0,0.722333,1,0,32000
0.091,0.33575,1,1,0.000083,0,0.671667,1,0,32500
0.077167,0.295333,1,1,0.000083,0,0.619583,1,0,33000
0.065583,0.25775,1,1,0.000083,0,0.566333,1,0,33500
0.053,0.223,1,1,0,0,0.514833,1,0,34000
0.045333,0.19475,1,1,0,0,0.467,1,0,34500
0.038667,0.172,1,1,0,0,0.42125,1,0,35000
0.033333,0.149667,0.999917,1,0,0,0.3775,1,0,35500
0.02875,0.129917,0.999917,1,0,0,0.337917,1,0,36000
0.0255,0.112917,0.999917,1,0,0,0.30075,1,0,36500
0.0225,0.099,0.999917,1,0,0,0.262917,1,0,37000
0.019833,0.085167,0.999917,1,0,0,0.23275,1,0,37500
0.017583,0.074083,0.999917,1,0,0,0.20425,1,0,38000
0.015667,0.062,0.999833,1,0,0,0.182,1,0,38500
0.013833,0.0525,0.999833,0.999917,0,0,0.161917,1,0,39000
0.0115,0.04525,0.99975,0.999917,0,0,0.142917,1,0,39500
0.01,0.03975,0.9995,0.999917,0,0,0.126083,1,0,40000
0.008667,0.035083,0.998833,0.999917,0,0,0.110833,1,0,40500
0.00725,0.031,0.998167,0.999917,0,0,0.098417,1,0,41000
0.00625,0.026917,0.99725,0.999833,0,0,0.086417,1,0,41500
0.005917,0.0245,0.996583,0.999833,0,0,0.076167,1,0,42000
0.005167,0.021917,0.995,0.999833,0,0,0.064833,0.999917,0,42500
0.004083,0.019833,0.99375,0.999667,0,0,0.056417,0.999917,0,43000
0.003667,0.017917,0.991667,0.999333,0,0,0.049167,0.999917,0,43500
0.00325,0.016167,0.989583,0.998833,0,0,0.04275,0.999917,0,44000
0.003167,0.01475,0.986917,0.998333,0,0,0.038417,0.999917,0,44500
0.002917,0.012583,0.982583,0.997417,0,0,0.034,0.999833,0,45000
0.002833,0.010917,0.978833,0.996583,0,0,0.030417,0.999833,0,45500
0.00225,0.009667,0.97525,0.995417,0,0,0.026583,0.999833,0,46000
0.002167,0.00825,0.970417,0.994333,0,0,0.024333,0.999583,0,46500
0.002,0.007083,0.964,0.99275,0,0,0.022083,0.99925,0,47000
0.001917,0.006583,0.956583,0.990333,0,0,0.019917,0.999,0,47500
0.001917,0.005917,0.949083,0.98775,0,0,0.018083,0.998583,0,48000
0.001667,0.005083,0.941667,0.984833,0,0,0.016417,0.99775,0,48500
0.001417,0.004583,0.930583,0.981167,0,0,0.01525,0.997333,0,49000
0.001333,0.004,0.920667,0.977083,0,0,0.01375,0.996083,0,49500
0.000917,0.003667,0.908167,0.972833,0,0,0.01175,0.9955,0,50000
0.000917,0.003333,0.8965,0.967917,0,0,0.0105,0.993833,0,50500
0.000917,0.003167,0.885333,0.961667,0,0,0.009333,0.991917,0,51000
0.00075,0.002917,0.871667,0.95575,0,0,0.008167,0.989917,0,51500
0.00075,0.002667,0.857417,0.94825,0,0,0.00725,0.987333,0,52000
0.00075,0.002417,0.84375,0.9405,0,0,0.00675,0.984417,0,52500
0.000583,0.002167,0.828167,0.93075,0,0,0.005833,0.98175,0,53000
0.000417,0.002083,0.8115,0.92075,0,0,0.00525,0.977833,0,53500
0.000417,0.002,0.793833,0.9105,0,0,0.004833,0.973167,0,54000
0.000417,0.001917,0.775917,0.898167,0,0,0.004167,0.968917,0,54500
