"variable","Mean","SD","time_series_se","perc_2.5","perc_50","perc_97.5","mc_error","converge"
"MSY","110880.678090975","96448.3748272008",876.063824653386,"37399.5205402169","89874.8771681627","308617.124983228",0.00908324091746453,"true"
"S.eq","59908.2520624653","13755.8445423907",130.309940890497,"45826.3148657158","57600.6243764469","88068.3720203416",0.00947306001379469,"true"
"S.max","23387.2969229282","6801.87618638309",62.0961564184811,"15805.6417672338","22232.2294644214","37312.9229193261",0.00912926885420137,"true"
"S.msy","18736.2576174034","4427.77286032737",40.4229733296831,"13887.8975696733","18044.6027751481","27319.6779877385",0.00912941440421909,"true"
"U.msy","0.812042049433209","0.0666161483084463",0.000598149500256566,"0.64776605342906","0.824357142177676","0.89225861208713",0.00897904660424094,"true"
"alpha","8.93152187088979","4.74991923950714",0.0433594219048203,"3.11712658309639","7.99175508681971","20.4621646906492",0.00912845455227557,"true"
"beta","0.0000450213628822281","0.00000921476594153155",0.0000000823162919823979,"0.0000268003671675221","0.0000449797444705782","0.0000632685478338198",0.00893308549611586,"true"
"lnalpha","2.07788817823769","0.469559646210177",0.00417490905737639,"1.13691160926289","2.07841039608424","3.01857755597458",0.00889111551870385,"true"
"lnalpha.c","2.64495851728413","0.5442235340426",0.00498496497089166,"1.70678413068156","2.58690031604307","3.87999798563211",0.00915977472319573,"true"
"resid.red.0","0.00277797008562014","1.04879486223381",0.0095734575418178,"-2.03683412141704","0.000390345273897348","2.10139903597197",0.00912805533908457,"true"
"sigma.red","1.03959887802264","0.231039605223629",0.00210081422782751,"0.695521026896473","1.00310549717141","1.59808479627541",0.00909287490252624,"true"
"sigma.white","1.03959887802264","0.231039605223629",0.00210081422782751,"0.695521026896473","1.00310549717141","1.59808479627541",0.00909287490252624,"true"
"Smsy_lambert"," 18926.471","  4398.949",NA," 14385.016"," 18174.978"," 27452.666",NA,"NaN"
"Umsy_lambert","0.82182314","0.07438841",NA,"0.65180152","0.82780024","0.94677479",NA,"NaN"
