"","variable","chain1","chain2","chain3"
"1","MSY",0.290269604592751,2.46962046360291,-0.149074114406095
"2","S.eq",1.27668627294223,2.02763948485319,0.370716411756158
"3","S.max",1.5914668760764,-0.428359252059277,0.00784481791779722
"4","S.msy",1.80276307034473,0.332353028508519,0.419968081087775
"5","U.msy",-0.730898367287086,2.87655111272119,0.399096148214783
"6","alpha",-1.5444236377723,1.82202829614754,-0.954463474458951
"7","beta",-1.89537432040432,0.888160280458945,-0.713466873430768
"8","lnalpha",-1.13069680902504,2.01709682938591,-0.444008318211519
"9","lnalpha.c",-1.48971113139468,2.88505858070069,-0.0649898124718147
"10","resid.red.0",-0.164656705114942,0.403320226936326,-1.26473462369534
"11","sigma.red",-0.777845687850759,2.1160047955704,0.526928613600547
"12","sigma.white",-0.777845687850759,2.1160047955704,0.526928613600547
"13","frac1",0.1,0.1,0.1
"14","frac2",0.5,0.5,0.5
