"","MSY","S.eq","S.max","S.msy","U.msy","alpha","beta","lnalpha","lnalpha.c","resid.red.0","sigma.red","sigma.white"
"Lag 0",1,1,1,1,1,1,1,1,1,1,1,1
"Lag 1000",-0.00684634938751388,-0.00133708167534303,0.0102576892431758,0.0132070126634116,-0.0207482029225027,-0.00289845822613577,-0.00596190105046251,-0.00915088989060644,-0.0132725345027525,0.0000599924259173278,-0.00683854441132057,-0.00683854441132057
"Lag 5000",-0.00142519662337648,0.00582424917368639,0.0109030216355463,0.012027512471001,-0.0045437897376402,-0.00545310497302953,0.00591060192831394,0.000300277435912321,-0.00217382359417255,-0.0109145299075915,-0.00771786693236763,-0.00771786693236763
"Lag 10000",0.000424723555095493,0.000339689726863352,-0.00124662911605225,-0.00493321093023279,0.00756954755853557,-0.0000120660499507988,-0.00139891432836268,0.0085430291618175,0.00179468962152207,-0.0035919413375208,-0.00388211494563436,-0.00388211494563436
"Lag 50000",-0.00453256821360821,-0.00080455755502908,-0.0157712439540261,-0.00747605287656467,-0.00573371221131626,-0.00379750623842616,-0.0151060438850773,-0.00739299900040085,-0.00856763578827422,0.00213983000250622,-0.00368550404546655,-0.00368550404546656
