"","variable","point_estimate","Upper C.I.","converge"
"1","MSY",1.01745413278013,1.01893177971838,"true"
"2","S.eq",1.01258210041585,1.01341255036544,"true"
"3","S.max",1.0021593632994,1.00227955398903,"true"
"4","S.msy",1.00592305331088,1.00595713384309,"true"
"5","U.msy",1.00028987239119,1.00092690707655,"true"
"6","alpha",1.00339835414884,1.00400844122221,"true"
"7","beta",1.00025518211044,1.00050697691203,"true"
"8","lnalpha",1.0000915279793,1.00043396547847,"true"
"9","lnalpha.c",1.00068555034694,1.00217614783805,"true"
"10","resid.red.0",1.00021014343073,1.00104316854502,"true"
"11","sigma.red",1.00147662143735,1.00433478515268,"true"
"12","sigma.white",1.00147662143735,1.00433478515268,"true"
