"variable","Mean","SD","time_series_se","perc_2.5","perc_50","perc_97.5","mc_error","converge"
"MSY","64957.6881533498","23580.9942543738",215.280394447795,"33628.0141616384","60420.7127850985","122352.087970928",0.00912940277774185,"true"
"S.eq","55145.0273152572","7628.08242834824",70.6407998288845,"43939.1264078072","53945.6507917076","73375.9267255148",0.00926062355676207,"true"
"S.max","25274.113198809","4686.89380707095",42.7872074520418,"18492.6364767783","24535.6525448584","36115.5399769901",0.00912911817790501,"true"
"S.msy","18972.7371701336","2691.40837732927",24.5701229192649,"15126.7020948739","18525.5031469912","25342.2922116097",0.00912909505901376,"true"
"U.msy","0.757729760300531","0.0582952720904553",0.000536132681647382,"0.633865424967414","0.761550077986072","0.861606666026083",0.00919684671538163,"true"
"alpha","5.71520153666739","1.66617558112968",0.0153345098881948,"3.14980104683099","5.48652228497886","9.59339196336752",0.00920341773212031,"true"
"beta","0.0000407637600394789","0.00000675980411942288",0.0000000628286027486495,"0.0000276889139780441","0.0000407570166790281","0.0000540755776877851",0.00929444132384319,"true"
"lnalpha","1.70291226413259","0.283079511803634",0.00259888962147843,"1.14733928029241","1.70229459122086","2.26107452414762",0.00918077611805839,"true"
"lnalpha.c","2.21903180402163","0.318469173974489",0.00292282238416783,"1.64792092028096","2.20182453737131","2.90327036986941",0.00917772463717936,"true"
"resid.red.0","0.012172272733963","1.02081761295614",0.00952057267637726,"-2.03223973602472","0.0192697382870402","1.98645282634344",0.00932641889750223,"true"
"sigma.red","1.0066751990294","0.137279619433125",0.00127854659653618,"0.782146085340905","0.993730605039827","1.31158398842992",0.00931344799625572,"true"
"sigma.white","1.0066751990294","0.137279619433125",0.00127854659653618,"0.782146085340905","0.993730605039827","1.31158398842992",0.00931344799625572,"true"
"Smsy_lambert","19026.16"," 2695.41",NA,"15189.18","18575.97","25456.32",NA,"NaN"
"Umsy_lambert","0.75993952","0.05924759",NA,"0.63635200","0.76283315","0.86919821",NA,"NaN"
