"","MSY","S.eq","S.max","S.msy","U.msy","alpha","beta","lnalpha","lnalpha.c","resid.red.0","sigma.red","sigma.white"
"Lag 0",1,1,1,1,1,1,1,1,1,1,1,1
"Lag 1000",0.00337845447597266,0.0145174582691739,-0.0019390968766286,0.00564865916690822,-0.00281446527364459,-0.00528203791998623,-0.00510978319705573,-0.00436604897689128,-0.00390516512985331,0.00457202750089761,0.01631795432566,0.01631795432566
"Lag 5000",-0.0036984515858868,0.00588144076825772,0.00474771629226256,0.00498898393037627,0.00432491811704696,-0.00475261585881059,0.00583164240364509,-0.00351968058289388,-0.0000585833628404097,0.00793264070427929,-0.0000852753161654336,-0.0000852753161654364
"Lag 10000",0.00230844166793607,0.00221175166772503,-0.0034093816768587,-0.0006995107296166,-0.00999403979541284,-0.0125253107445114,-0.00418002373006297,-0.0119050651914229,-0.00889910180871181,-0.0042323126041297,-0.00448670333714747,-0.00448670333714746
"Lag 50000",0.00243161699454111,-0.0111823496857726,-0.00528857908608658,-0.0093757451010667,0.00257536728258384,-0.000962589647637984,-0.00586596209458024,-0.00058967624349082,0.00460929622416226,0.00247032062695135,0.00490852932467356,0.00490852932467356
