"","variable","point_estimate","Upper C.I.","converge"
"1","MSY",1.0001029167724,1.0001426635354,"true"
"2","S.eq",1.00005767464928,1.00014278030718,"true"
"3","S.max",1.00034553496727,1.00055332536,"true"
"4","S.msy",1.00025100091382,1.00047230364895,"true"
"5","U.msy",1.00005921820927,1.00022613220951,"true"
"6","alpha",1.00006663395274,1.00038442390583,"true"
"7","beta",1.00015349616247,1.00064374066877,"true"
"8","lnalpha",1.00002288982747,1.00027275835002,"true"
"9","lnalpha.c",0.999984952508737,1.00019274737373,"true"
"10","resid.red.0",0.999964336360897,1.00012137428372,"true"
"11","sigma.red",1.00003649034841,1.00011573276985,"true"
"12","sigma.white",1.00003649034841,1.00011573276985,"true"
